1034edt,1,1,977
1035,1,1,978
1036,26,26,979
10375,1,1,1005
1038,1,1,1006
1038est,1,1,1007
1039,1,1,1008
1039est,1,1,1009
104,5,5,1010
1045,2,2,1015
1046,1,1,1017
1047,1,1,1018
105,2,2,1019
106,4,4,1021
1061,1,1,1025
1064,1,1,1026
1066,1,1,1027
1081,1,1,1028
109,2,2,1029
1093,1,1,1031
1097,1,1,1032
10th,7,5,1033
10thld,2,2,1038
11,267,130,1040
110,4,4,1170
1100,4,4,1174
11011998,3,3,1178
1102,1,1,1181
11021998,1,1,1182
11031998,1,1,1183
11041998,7,7,1184
11051998,3,3,1191
11061998,7,7,1194
11071998,5,5,1201
1109,3,3,1206
1109edt,1,1,1209
111,14,10,1210
11101998,2,2,1220
11111998,1,1,1222
11121998,2,2,1223
11131998,3,3,1225
111400,1,1,1228
11141998,1,1,1229
1114est,1,1,1230
11151998,1,1,1231
1116,1,1,1232
11161998,1,1,1233
11171998,3,3,1234
111900,1,1,1237
11191998,1,1,1238
1119est,1,1,1239
112,2,2,1240
1120,2,2,1242
11201998,1,1,1244
1121,2,2,1245
112100,2,2,1247
1121est,2,2,1249
1122,1,1,1251
112200,1,1,1252
11221998,3,3,1253
1122edt,1,1,1256
1122est,1,1,1257
1123,1,1,1258
11231998,6,6,1259
1123edt,1,1,1265
11241998,3,3,1266
11251998,7,7,1269
11261998,3,3,1276
11291998,3,3,1279
113,1,1,1282
11301998,2,2,1283
113500,1,1,1285
1135edt,1,1,1286
113700,2,2,1287
1137est,2,2,1289
1138,1,1,1291
114,1,1,1292
1143,2,2,1293
1143edt,1,1,1295
114500,2,2,1296
1145edt,1,1,1298
1145est,1,1,1299
114700,1,1,1300
1147est,1,1,1301
1148,1,1,1302
114800,1,1,1303
1148est,1,1,1304
115400,1,1,1305
1154est,1,1,1306
115500,1,1,1307
1155edt,1,1,1308
115700,1,1,1309
1157est,1,1,1310
115800,1,1,1311
1158est,1,1,1312
115900,1,1,1313
1159est,1,1,1314
1163,1,1,1315
1165,1,1,1316
11851,1,1,1317
11th,1,1,1318
12,142,73,1319
120,3,3,1392
1200,6,5,1395
12000,1,1,1400
1201,3,3,1401
120100,1,1,1404
1201edt,1,1,1405
120200,1,1,1406
12021998,4,4,1407
1202est,1,1,1411
1203,1,1,1412
12031998,4,4,1413
1203est,1,1,1417
12041998,1,1,1418
12051998,3,3,1419
120600,1,1,1422
12061998,4,4,1423
1206est,1,1,1427
12081998,4,4,1428
1210,1,1,1432
1210edt,1,1,1433
121100,1,1,1434
1211est,1,1,1435
1212,1,1,1436
121500,2,2,1437
1215edt,2,2,1439
12161998,1,1,1441
1218,1,1,1442
121800,1,1,1443
1218est,1,1,1444
1219,2,2,1445
122000,1,1,1447
12201998,1,1,1448
1220edt,1,1,1449
122100,1,1,1450
1221edt,1,1,1451
122500,1,1,1452
1225est,1,1,1453
12291998,2,2,1454
1230,1,1,1456
123000,1,1,1457
12301998,2,2,1458
1230edt,1,1,1460
123100,1,1,1461
12311998,1,1,1462
1231est,1,1,1463
1234,2,2,1464
123400,1,1,1466
1234edt,1,1,1467
123500,1,1,1468
1235est,1,1,1469
1236,1,1,1470
1240,1,1,1471
1240524,2,2,1472
124300,1,1,1474
1243est,1,1,1475
124800,1,1,1476
1248edt,1,1,1477
124900,1,1,1478
1249est,1,1,1479
125,1,1,1480
125400,1,1,1481
1254est,1,1,1482
1258,3,3,1483
1258edt,1,1,1486
125900,1,1,1487
1259edt,1,1,1488
127,1,1,1489
1288,1,1,1490
129,4,2,1491
12986,1,1,1493
12th,2,2,1494
13,49,37,1496
130,5,5,1533
13000,2,2,1538
130300,1,1,1540
1303edt,1,1,1541
1309,1,1,1542
1309edt,1,1,1543
131,1,1,1544
1318,1,1,1545
1318est,1,1,1546
132,1,1,1547
133,1,1,1548
134,3,3,1549
